$ /usr/local/bin/python /root/kot/poc/e9/runner/e9_runner.py --inputs-dir /root/kot/poc/e9/inputs --out-dir /tmp/e9-results --device cuda
[e9     3.2s] mode=FULL device=cuda seeds=[0, 1, 2, 3, 4] steps=2000 sweep=[0.0003, 0.001, 0.003]@1000 batch=32 arms=['true', 'shuffled', 'defl']
[e9    10.2s] sequences: 1800 train / 200 val / 500 seen-eval / 120 nonce-eval
[e9    10.2s] sweep arm=true lr=0.0003
[e9   805.5s]     step 50/1000 loss 3.8916
[e9   813.4s]     step 100/1000 loss 3.4663
[e9   821.1s]     step 150/1000 loss 3.3138
[e9   829.0s]     step 200/1000 loss 3.1535
[e9   836.5s]     step 250/1000 loss 2.9815
[e9   844.2s]     step 300/1000 loss 3.0828
[e9   852.3s]     step 350/1000 loss 2.8528
[e9   860.3s]     step 400/1000 loss 2.9747
[e9   868.0s]     step 450/1000 loss 2.7871
[e9   875.9s]     step 500/1000 loss 2.7865
[e9   883.9s]     step 550/1000 loss 2.7234
[e9   892.0s]     step 600/1000 loss 2.7778
[e9   899.6s]     step 650/1000 loss 2.5941
[e9   907.6s]     step 700/1000 loss 2.6363
[e9   915.5s]     step 750/1000 loss 2.6148
[e9   923.3s]     step 800/1000 loss 2.5016
[e9   931.4s]     step 850/1000 loss 2.6709
[e9   939.1s]     step 900/1000 loss 2.6774
[e9   946.8s]     step 950/1000 loss 2.7748
[e9   954.5s]     step 999/1000 loss 2.3411
[e9   954.9s]   arm=shuffled lr=0.003 valCE=2.7258
[e9   954.9s] selected lr=0.003 for arm=shuffled
[e9   954.9s] sweep arm=defl lr=0.0003
[e9   955.1s]     step 0/1000 loss 4.3944
[e9   963.0s]     step 50/1000 loss 4.3473
[e9   971.0s]     step 100/1000 loss 4.2000
[e9   978.9s]     step 150/1000 loss 3.9194
[e9   986.9s]     step 200/1000 loss 3.7015
[e9   994.3s]     step 250/1000 loss 3.4983
[e9  1002.1s]     step 300/1000 loss 3.5483
[e9  1010.2s]     step 350/1000 loss 3.3456
[e9  1018.2s]     step 400/1000 loss 3.4171
[e9  1025.9s]     step 450/1000 loss 3.3011
[e9  1033.8s]     step 500/1000 loss 3.2487
[e9  1041.8s]     step 550/1000 loss 3.2628
[e9  1049.9s]     step 600/1000 loss 3.2786
[e9  1057.5s]     step 650/1000 loss 3.1803
[e9  1065.5s]     step 700/1000 loss 3.1558
[e9  1073.3s]     step 750/1000 loss 3.2418
[e9  1081.2s]     step 800/1000 loss 3.0367
[e9  1089.2s]     step 850/1000 loss 3.2950
[e9  1097.0s]     step 900/1000 loss 3.2733
[e9  1104.7s]     step 950/1000 loss 3.3260
[e9  1112.4s]     step 999/1000 loss 3.0920
[e9  1112.8s]   arm=defl lr=0.0003 valCE=3.2148
[e9  1112.8s] sweep arm=defl lr=0.001
[e9  1113.0s]     step 0/1000 loss 4.3944
[e9  1120.7s]     step 50/1000 loss 4.1586
[e9  1128.6s]     step 100/1000 loss 3.8334
[e9  1136.3s]     step 150/1000 loss 3.4855
[e9  1144.2s]     step 200/1000 loss 3.2617
[e9  1151.7s]     step 250/1000 loss 3.1500
[e9  1159.4s]     step 300/1000 loss 3.1928
[e9  1167.5s]     step 350/1000 loss 2.9649
[e9  1175.5s]     step 400/1000 loss 3.1059
[e9  1183.3s]     step 450/1000 loss 2.8976
[e9  1191.1s]     step 500/1000 loss 2.8815
[e9  1199.2s]     step 550/1000 loss 2.8689
[e9  1207.3s]     step 600/1000 loss 2.9157
[e9  1214.8s]     step 650/1000 loss 2.7503
[e9  1222.9s]     step 700/1000 loss 2.7558
[e9  1230.7s]     step 750/1000 loss 2.8191
[e9  1238.6s]     step 800/1000 loss 2.6335
[e9  1246.6s]     step 850/1000 loss 2.8454
[e9  1254.3s]     step 900/1000 loss 2.8267
[e9  1262.0s]     step 950/1000 loss 2.9666
[e9  1269.8s]     step 999/1000 loss 2.5773
[e9  1270.2s]   arm=defl lr=0.001 valCE=2.8442
[e9  1270.2s] sweep arm=defl lr=0.003
[e9  1270.3s]     step 0/1000 loss 4.3944
[e9  1278.1s]     step 50/1000 loss 3.8713
[e9  1286.0s]     step 100/1000 loss 3.4578
[e9  1293.7s]     step 150/1000 loss 3.2433
[e9  1301.6s]     step 200/1000 loss 3.0756
[e9  1309.1s]     step 250/1000 loss 2.9450
[e9  1316.8s]     step 300/1000 loss 2.9620
[e9  1324.9s]     step 350/1000 loss 2.7432
[e9  1332.9s]     step 400/1000 loss 2.9278
[e9  1340.7s]     step 450/1000 loss 2.6777
[e9  1348.5s]     step 500/1000 loss 2.7113
[e9  1356.5s]     step 550/1000 loss 2.6499
[e9  1364.7s]     step 600/1000 loss 2.7496
[e9  1372.2s]     step 650/1000 loss 2.5511
[e9  1380.3s]     step 700/1000 loss 2.5434
